Date,Time,SO4,NO3,NH4,OC,EC,CHL,Total,place
20180322,D,4.146921946,1.72404384,1.920505707,6.489963996,1.666558656,0.109145482,21.81818182,埔里
20180322,N,4.687418818,5.45775455,3.501428812,7.982461759,1.987470071,0.172832714,29.15531335,埔里
20180323,D,3.945002804,0.488880804,1.384176937,7.07183052,1.526872499,0.047751148,24.72727273,埔里
20180323,N,4.27157345,1.54217526,1.829871865,6.663404882,1.42901936,0.099441307,25.54545455,埔里
20180324,D,4.564010475,1.455443322,1.746502058,5.71610957,1.635487441,0.137373737,24.31818182,埔里
20180324,N,6.077068471,3.22785196,3.05286263,9.675015274,1.811006232,0.13566246,30.18181818,埔里
20180325,D,7.656202746,2.217837053,3.498911268,8.023397041,1.932761635,0.15363213,30.60853769,埔里
20180325,N,11.88110948,7.779203324,7.272421799,7.114219114,1.6815427,0.358473851,43.77272727,埔里
20180326,D,11.49446634,2.872672918,5.317902493,6.551782353,1.686597437,0.154459392,34.45454545,埔里
20180326,N,10.99447092,5.863880743,6.242974096,7.034058899,1.628254375,0.290505865,36.54545455,埔里
20180327,D,10.76228214,1.477044999,4.451326896,6.490164806,1.76856991,0.129349608,30.72727273,埔里
20180327,N,8.940471791,2.544191919,4.241962306,5.004953146,1.251238286,0.130420054,26.63636364,埔里
20180328,D,7.23249401,0.689088799,2.806383075,5.66106808,1.59671151,0.055452587,22.18181818,埔里
20180328,N,7.708713642,2.468206158,3.599549714,7.31666208,1.9598202,0.155470366,27.42960945,埔里
20180329,D,10.11963715,1.771387034,4.168976118,6.48691322,1.508207324,0.123877455,29.70027248,埔里
20180329,N,11.53502737,7.270739687,6.800905116,8.133336397,2.111067194,0.276121457,40.50862852,埔里
20180330,D,9.839811756,3.374209994,4.244385115,7.788197767,2.076852738,0.119160746,30,埔里
20180330,N,8.862604869,4.534910375,4.997325754,8.642709091,2.071660606,0.214398142,34.40909091,埔里
20180331,D,9.251762154,1.770136755,3.779293933,7.096927609,1.766203704,0.201518164,28.09090909,埔里
20180331,N,9.418950451,5.779231673,4.651751537,7.198658247,1.698559811,0.342834485,33.04545455,埔里
20180312,D,7.145867393,10.3191644,5.521707539,7.468003636,1.042541818,0.881562216,43.59673025,二林
20180312,N,8.371480472,18.08410536,9.744959128,8.013903724,2.168217984,1.852316076,57.58401453,二林
20180313,D,8.022888283,16.41943688,8.267938238,7.896990009,1.392336058,0.070299728,49.36421435,二林
20180313,N,8.684468665,23.04141689,11.42615804,17.74448727,2.436143636,1.3582198,77.70208901,二林
20180314,D,8.21071753,18.29990917,8.821071753,9.882870909,1.63828,0.11462307,54.40508629,二林
20180314,N,9.086830154,24.77238874,11.84722979,19.71255091,2.595716364,1.172752044,86.73932788,二林
20180315,D,7.768574024,12.61307902,6.601998183,8.563736364,1.489345455,0.248683015,46.50317893,二林
20180315,N,,,,,,,,二林
